id_institution_subnet,model,test_SMAPE,test_R2,test_RMSE,normal_SMAPE,normal_R2
42,Mean,43.59161896024105,-0.03546459840670724,5269.426354410945,42.80193629808205,-0.04371388176677682
42,SN-24,60.9133973598417,-1.0167137990085888,7353.902142266805,60.154001352490404,-1.0502037105343116
42,SN-168,59.85064208101076,-1.3036749699986787,7859.706220501402,60.699840894044634,-1.428760224880902
42,MA-24,55.40960420474795,-0.5269094042023699,6398.856140865313,54.40355865782621,-0.5370980110196677
42,MA-168,49.16523652500588,-0.2521099420983546,5794.513026093484,48.01411357528874,-0.25400350482001643
43,Mean,69.31141082052706,-0.0022462725103298276,52203089.52042139,61.36143110635067,-0.002673200008387111
43,SN-24,45.680852534050544,-0.6476731284944832,66933650.41226745,45.426295473331955,-0.6483771543497998
43,SN-168,53.73287350495388,-4.413790599477836,121327628.3862556,51.31718654711077,-4.416194331768571
43,MA-24,35.51231216024958,-0.0025965197037143284,52212210.227068335,35.78644448329681,-0.0030286195051734133
43,MA-168,38.58084233362055,-0.0028111877915535377,52217799.56196888,37.55098416921498,-0.003242817168559675
44,Mean,139.5927232268325,-0.09236712622840271,1252789683.9790368,136.15700386206365,-0.06747872945154354
44,SN-24,78.42406188618565,-0.3499219531850337,1392669894.9324758,80.5272987304541,-0.35270829131280834
44,SN-168,86.2892175947734,-1.0268719914874467,1706502851.3372507,88.36742165947811,-1.0307351105515226
44,MA-24,62.31222708480391,0.054237065133730944,1165695184.5503776,64.79879815698094,0.050109979020944495
44,MA-168,68.09688431693279,-0.019945458752184786,1210548884.5838041,70.54925864701224,-0.024846071584764262
45,Mean,104.32985228033205,-0.0231062052300548,33111367.036792517,101.96588988126246,-0.024310036126772294
45,SN-24,100.30021262297477,-0.9679069354491268,45921813.47305048,101.12699520845574,-0.9705198470127847
45,SN-168,101.53656215755169,-0.906713186504678,45202185.90525656,100.12299918306975,-0.5000063052267125
45,MA-24,97.44404150190975,-0.01963943648331057,33055220.93134249,97.77750336751275,-0.020750444380897903
45,MA-168,101.42133325885582,-0.02193124180746575,33092348.570697837,102.00743949815806,-0.02296958470178989
46,Mean,181.488003205168,-0.0012457517761612635,56551262.4321448,183.92352499642408,-0.0007632886913320203
46,SN-24,56.67370994580262,-0.9788715619860198,79502496.22940983,55.64866389332897,-0.9965411032287377
46,SN-168,72.25328580437397,-1.0024121159820543,79973976.99363373,72.32515609803937,-1.1068089170339408
46,MA-24,46.41000004470101,-0.0007089323934905689,56536100.37831234,46.1462922238379,-0.0004299491401980049
46,MA-168,56.64656501557113,-0.001205827208025978,56550134.93310983,57.07649193366099,-0.0007235028898189277
47,Mean,108.0910166562104,-1.8213228458706525,173633.9037895046,105.08192479963998,-1.611336668799452
47,SN-24,20.55162709190758,0.7472268312905539,51972.501815776675,20.769011659580272,0.7685022159893258
47,SN-168,36.46059925200487,0.33291246245328454,84430.53678182443,36.46877280422571,0.4293588309341604
47,MA-24,17.650464924568706,0.8266303694418293,43042.21857746051,18.162745204513296,0.8374137745365333
47,MA-168,26.70275792544462,0.6506256888150657,61101.746102125864,27.264518924743076,0.6838910154201974
48,Mean,86.56024367310387,-0.003153678104359958,276687831.2978687,78.09280640528415,-0.0036319713959831468
48,SN-24,64.21944532156219,-1.0047525087427562,391144031.0724075,65.41799704849961,-1.0057081509384722
48,SN-168,79.36793342032294,-1.0060280027929895,391268441.08131003,79.05151850470527,-1.0070136421708464
48,MA-24,52.048805897726616,-0.002594202051843464,276610663.75678337,53.37276722978213,-0.003072130630574099
48,MA-168,60.98078289201274,-0.0029089434001592362,276654078.12197685,61.40522846415909,-0.0033870549747143652
49,Mean,59.8174817677759,-0.011245370408506483,3723907.781912822,56.68920547719295,-0.011773886072427242
49,SN-24,75.6697459320387,-0.9446471913016075,5164057.327335142,74.28100051097945,-0.9384540225025186
49,SN-168,77.81716764483552,-1.040645732705153,5289985.141020221,73.93706220583836,-1.116740626194491
49,MA-24,59.52363275477218,-0.01112730194621947,3723690.3822031296,58.1744007723603,-0.011643776521440774
